Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Github ID,Integration,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134648077,Delivery Report,report feature,10,"Dec 19, 2016","Dec 25, 2016",feature,2,unstarted,"Nov 19, 2016",,,Chai Chi Lam,Admin can know which purchase record have been shipped and the status of delivery such as arrived or remained.,https://www.pivotaltracker.com/story/show/134648077,ccl950403,Github,Chai Chi Lam,Retrieve all the delivery record depends on the purchase record wihch status is paid,not completed,Display all the delivery record in report viewer which are delivered,not completed,Display all the delivery record in another report viewer which are Remained ,not completed,Then the admin can go check what the problems are,not completed,,
134647717,Stock Report,report feature,10,"Dec 19, 2016","Dec 25, 2016",feature,2,unstarted,"Nov 19, 2016",,,Chai Chi Lam,Admin can know the available quantity of each stock,https://www.pivotaltracker.com/story/show/134647717,ccl950403,Github,Chai Chi Lam,Retrieve all the product details from database,not completed,Display all the product available quantity in sequence depends on its quantity in report viewer,not completed,"if the product available quantity is 0, it will be displayed in another form of report",not completed,,,,
134648031,Order Report ,report feature,10,"Dec 19, 2016","Dec 25, 2016",feature,2,unstarted,"Nov 19, 2016",,,Chai Chi Lam,"Admin can know how many order has been process and deleted in each day, month and year",https://www.pivotaltracker.com/story/show/134648031,,,Chai Chi Lam,Retrieve all the purchase record and payment record from database,not completed,Display all the purchase record and purchase delete record in report viewer,not completed,Display all the payment record depends on the purchase record,not completed,,,,
134636533,Update cart,purchase feature,10,"Dec 19, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 19, 2016",,,CHIU LONG LIM,Customer may update cart,https://www.pivotaltracker.com/story/show/134636533,,,,Item amount can be modified before the payment has been made,not completed,Item amount cannot be 0 or less than 0,not completed,Item can be removed from the list before the payment has been made,not completed,,,,
134636479,Cancel purchase,purchase feature,10,"Dec 19, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 19, 2016",,,CHIU LONG LIM,"Customer may delete their purchase
",https://www.pivotaltracker.com/story/show/134636479,,,,purchase can be deleted before the item has been marked as shipped,not completed,make confirmation before the deletion of purchase list,not completed,,,,,,
134636385,Add Purchase Item,purchase feature,10,"Dec 19, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 19, 2016",,,CHIU LONG LIM,Add Purchase Feature,https://www.pivotaltracker.com/story/show/134636385,,,,can select the amount of item to add to cart,not completed,can have multiple item and add into a single purchase,not completed,after the purchase list confirmed shall send to the payment list,not completed,item amount cannot less than or equal 0,not completed,,
134636311,Registration,registration feature,10,"Dec 19, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 19, 2016",,,CHIU LONG LIM,"Let customer to make their registration
",https://www.pivotaltracker.com/story/show/134636311,,,,"Necessary information cannot be empty, such as ID, password and name",not completed,"Check password length, password length must be greater than 6",not completed,Password must consist of combination of number and alphabets,not completed,The same information cannot be use again after register(check ID if existing,not completed,,
134636243,Online payment,payment feature,11,"Dec 26, 2016","Jan 1, 2017",feature,2,unstarted,"Nov 19, 2016",,,Yu Song Liew,,https://www.pivotaltracker.com/story/show/134636243,,,,Make a combo box for choose type of card,not completed,Require enter credit card number and cvc number,not completed,Required to enter the card holder name as the card use,not completed,Verify the credit card number and cvc,not completed,Display message when successful payment,not completed
134716087,Login,login feature,,,,feature,1,unscheduled,"Nov 21, 2016",,,rueyho,Let user to login as a member,https://www.pivotaltracker.com/story/show/134716087,,,,Check password and username match from database,not completed,,,,,,,,
134714161,Modify Product,administrator feature,,,,feature,,unscheduled,"Nov 21, 2016",,,rueyho,Admin enable to edit the product details,https://www.pivotaltracker.com/story/show/134714161,,,,User specify the product can be modify,not completed,Product cannot set up be 0 or less than 0,not completed,,,,,,
134713969,Remove Product,administrator feature,,,,feature,,unscheduled,"Nov 21, 2016",,,rueyho,admin remove product in menu list,https://www.pivotaltracker.com/story/show/134713969,,,,show confirmation for the user before delete the product,not completed,Deleted the product from the database after the user confirm a message,not completed,,,,,,
134713557,Add New Product,administrator feature,,,,feature,,unscheduled,"Nov 21, 2016",,,rueyho,Create New Product Feature ,https://www.pivotaltracker.com/story/show/134713557,,,,Add in the data details to the database,not completed,Textbox can't enable to empty,not completed,Set the product price cannot be 0 or less than 0,not completed,,,,
134636919,Stock Report,report feature,,,,feature,,unscheduled,"Nov 19, 2016",,,Chai Chi Lam,Admin can know the available quantity of each stock,https://www.pivotaltracker.com/story/show/134636919,ccl950403,Github,Chai Chi Lam,Display all the product available quantity in sequence depends on its quantity in report viewer,completed,Retrieve all the product details from database,completed,"if the product available quantity is 0, it will be displayed in another form of report",completed,,,,
